#Version=1.29F
#Management No,Class,Variable ID,Variable Name,Unit,Upper And Lower Limit Type (0: No/1 : Yes),Lower Limit Value,Upper Limit Value,Data Type,Data Count,Variable Length (0: Fixed / 1: Variable),SECS Data Type,Conversion Option,Value Type (0: Fixed / 1: Setup / 2: Default),Value,CPU Number,Device Type,Device No,Cache No,Comment
0,SV,10034,IRB08_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10154,0,IRB08_PV
0,SV,10035,IRB09_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10156,0,IRB09_PV
0,SV,10036,IRB10_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10158,0,IRB10_PV
0,SV,10037,IRB11_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10160,0,IRB11_PV
0,SV,10038,IRB12_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10162,0,IRB12_PV
0,SV,10039,TC01_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10200,0,TC01_SV
0,SV,10040,TC02_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10202,0,TC02_SV
0,SV,10041,TC03_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10204,0,TC03_SV
0,SV,10042,TC04_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10206,0,TC04_SV
0,SV,10043,TC05_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10208,0,TC05_SV
0,SV,10044,TC06_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10210,0,TC06_SV
0,SV,10045,TC07_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10212,0,TC07_SV
0,SV,10046,TC08_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10214,0,TC08_SV
0,SV,10047,TC09_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10216,0,TC09_SV
0,SV,10048,TC10_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10218,0,TC10_SV
0,SV,10049,TC11_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10220,0,TC11_SV
0,SV,10050,TC12_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10222,0,TC12_SV
0,SV,10051,IRA01_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10240,0,IRA01_SV
